title,car_make,car_model,year_cleaned,mileage_cleaned,range_km_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,has_warranty,trim_level,region,is_dealer,dealer_name,days_listed,status,price_cleaned,predicted_value,value_difference,url
Tesla Model 3,Tesla,Model 3,2019.0,146592.0,560.0,15.966666666666669,1.0,0.0,0.0,Long Range,Oslo/Akershus,0.0,,0,Aktiv,164434.0,175967,11533,https://www.finn.no/mobility/item/444341307
Tesla Model 3,Tesla,Model 3,2023.0,64200.0,602.0,12.0,1.0,0.0,1.0,Long Range,Annet,1.0,Rebil,0,Aktiv,319900.0,331373,11473,https://www.finn.no/mobility/item/452512243
Tesla Model 3,Tesla,Model 3,2021.0,45000.0,580.0,12.0,1.0,0.0,1.0,Long Range,Annet,1.0,Rebil,0,Aktiv,288900.0,300277,11377,https://www.finn.no/mobility/item/452530620
Tesla Model 3,Tesla,Model 3,2024.0,27800.0,629.0,27.9,1.0,0.0,1.0,Long Range,Oslo/Akershus,1.0,FURUSET CAR SENTER & PREMIUM BIL,0,Aktiv,399000.0,410305,11305,https://www.finn.no/mobility/item/453461032
Tesla Model 3,Tesla,Model 3,2022.0,74000.0,602.0,12.0,1.0,0.0,1.0,Long Range,Vestland,1.0,AutoSwap AS,0,Aktiv,299800.0,311054,11254,https://www.finn.no/mobility/item/448573124
Tesla Model 3,Tesla,Model 3,2019.0,124700.0,560.0,12.0,1.0,0.0,0.0,Long Range,Annet,1.0,Autosenter Lillesand AS,0,Aktiv,189000.0,200210,11210,https://www.finn.no/mobility/item/453424580
Tesla Model 3,Tesla,Model 3,2022.0,66000.0,491.0,3.8333333333333335,1.0,0.0,0.0,Standard Range,Trøndelag,0.0,,0,Aktiv,244532.0,255566,11034,https://www.finn.no/mobility/item/451802402
Tesla Model 3,Tesla,Model 3,2023.0,51000.0,491.0,12.0,1.0,0.0,1.0,Standard Range,Annet,1.0,Car4Sale AS,0,Aktiv,285000.0,295991,10991,https://www.finn.no/mobility/item/448813535
Tesla Model 3,Tesla,Model 3,2020.0,67187.0,409.0,6.5,1.0,0.0,0.0,Standard Range,Vestland,0.0,,0,Aktiv,194532.0,205357,10825,https://www.finn.no/mobility/item/451269530
Tesla Model 3,Tesla,Model 3,2024.0,25000.0,629.0,30.8,1.0,0.0,1.0,Long Range,Annet,0.0,,0,Aktiv,402505.0,413240,10735,https://www.finn.no/mobility/item/451694496
Tesla Model 3,Tesla,Model 3,2021.0,87000.0,580.0,12.0,1.0,0.0,1.0,Ukjent,Annet,1.0,BimmerSalg,0,Aktiv,259000.0,269725,10725,https://www.finn.no/mobility/item/450939061
