title,year_cleaned,mileage_cleaned,range_km_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,has_warranty,trim_level,region,is_dealer,dealer_name,days_listed,price_cleaned,predicted_value,value_difference,url
Nissan Leaf,2018,140079.0,270.0,12.0,1.0,0,1.0,Acenta,Sørlandet,1,AUTO COMPANY AS,0,99900.0,109378,9478,https://www.finn.no/mobility/item/439368737
Nissan Leaf,2018,138000.0,270.0,24.1,5.0,0,0.0,Ukjent,Annet,1,Christian Aasbø AS,0,89532.0,98973,9441,https://www.finn.no/mobility/item/452703867
Nissan Leaf,2018,112800.0,270.0,6.3,2.0,0,0.0,Ukjent,Rogaland,0,,0,94999.0,104426,9427,https://www.finn.no/mobility/item/452577174
Nissan Leaf,2022,30000.0,270.0,12.0,2.0,0,1.0,Ukjent,Rogaland,1,Kverneland Bil | Volvo og MG Haugesund,0,189000.0,198361,9361,https://www.finn.no/mobility/item/447392639
Nissan Leaf,2019,85000.0,270.0,12.933333333333334,1.0,0,1.0,Tekna,Annet,0,,0,119900.0,129242,9342,https://www.finn.no/mobility/item/440534587
Nissan Leaf,2020,65200.0,270.0,12.366666666666667,3.0,0,0.0,Ukjent,Oslo/Akershus,0,,0,129532.0,138846,9314,https://www.finn.no/mobility/item/453028925
Nissan Leaf,2023,32300.0,278.0,12.0,2.0,0,1.0,Ukjent,Vestland,1,"Frydenbø Bil, Førde ± Halbrendsøyra",0,209000.0,218268,9268,https://www.finn.no/mobility/item/452939776
Nissan Leaf,2022,51000.0,385.0,3.466666666666667,2.0,0,1.0,Ukjent,Oslo/Akershus,0,,0,199900.0,209154,9254,https://www.finn.no/mobility/item/444288427
Nissan Leaf,2021,63500.0,270.0,12.0,2.0,0,1.0,Ukjent,Rogaland,1,dahl auto,0,147000.0,156177,9177,https://www.finn.no/mobility/item/452503389
Nissan Leaf,2020,50500.0,270.0,24.6,1.0,0,0.0,Ukjent,Annet,0,,0,134532.0,143699,9167,https://www.finn.no/mobility/item/448742416
Nissan Leaf,2023,43800.0,278.0,12.0,2.0,0,1.0,Ukjent,Rogaland,1,Rogaland Bilformidling AS,0,199000.0,208153,9153,https://www.finn.no/mobility/item/451870560
Nissan Leaf,2020,69980.0,270.0,12.0,2.0,0,1.0,Ukjent,Østfold,1,Hvaler Bruktbil AS,0,139900.0,148971,9071,https://www.finn.no/mobility/item/452380441
Nissan Leaf,2022,17350.0,285.0,8.3,2.0,0,1.0,Ukjent,Vestfold/Telemark,1,Mobile Auto Vestfold AS,0,164500.0,173495,8995,https://www.finn.no/mobility/item/451807368
Nissan Leaf,2020,29300.0,385.0,7.766666666666667,1.0,0,1.0,Ukjent,Vestland,1,Møller Bil Bruktbilsenter Bergen,0,199900.0,208870,8970,https://www.finn.no/mobility/item/450579943
Nissan Leaf,2022,91451.0,270.0,0.8,1.0,0,1.0,Ukjent,Vestland,1,Vestland Bil & Import AS,0,144532.0,153438,8906,https://www.finn.no/mobility/item/452301149
Nissan Leaf,2018,110000.0,270.0,3.933333333333333,2.0,0,0.0,Ukjent,Oslo/Akershus,0,,0,95000.0,103885,8885,https://www.finn.no/mobility/item/448710392
Nissan Leaf,2022,53000.0,270.0,12.0,1.0,0,1.0,Tekna,Vestland,1,Motor Forum Bergen,0,179900.0,188750,8850,https://www.finn.no/mobility/item/439373597
Nissan Leaf,2022,40000.0,270.0,2.1333333333333333,1.0,0,0.0,Ukjent,Annet,0,,0,176532.0,185373,8841,https://www.finn.no/mobility/item/446089693
