finn_id,title,url,price_cleaned,year_cleaned,mileage_cleaned,battery_capacity_cleaned,effect_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,first_seen_date
447207988,Nissan Leaf,https://www.finn.no/mobility/item/447207988,129532.0,2020,106855,40.0,150.0,21.1,1.0,0,2026-03-02
452668612,Nissan Leaf,https://www.finn.no/mobility/item/452668612,133532.0,2020,91000,40.0,150.0,7.966666666666667,1.0,0,2026-03-02
452558587,Nissan Leaf,https://www.finn.no/mobility/item/452558587,178900.0,2019,34100,40.0,150.0,17.166666666666668,2.0,0,2026-03-02
452535383,Nissan Leaf,https://www.finn.no/mobility/item/452535383,98532.0,2018,155293,40.0,150.0,9.066666666666666,3.0,0,2026-03-02
452549867,Nissan Leaf,https://www.finn.no/mobility/item/452549867,69000.0,2016,128195,30.0,109.0,12.0,2.0,0,2026-03-02
452500858,Nissan Leaf,https://www.finn.no/mobility/item/452500858,125000.0,2019,93000,40.0,150.0,12.0,2.0,0,2026-03-02
452500781,Nissan Leaf,https://www.finn.no/mobility/item/452500781,125000.0,2018,75000,40.0,150.0,12.0,2.0,0,2026-03-02
452500876,Nissan Leaf,https://www.finn.no/mobility/item/452500876,185000.0,2021,80000,40.0,218.0,12.0,2.0,0,2026-03-02
452463363,Nissan Leaf,https://www.finn.no/mobility/item/452463363,105000.0,2019,100500,40.0,150.0,12.0,2.0,0,2026-03-02
438114627,Nissan Leaf,https://www.finn.no/mobility/item/438114627,149434.0,2021,55000,40.0,150.0,18.466666666666665,1.0,0,2026-03-02
452349294,Nissan Leaf,https://www.finn.no/mobility/item/452349294,179900.0,2021,17600,40.0,150.0,17.0,2.0,0,2026-03-02
452301149,Nissan Leaf,https://www.finn.no/mobility/item/452301149,144532.0,2022,91451,39.0,150.0,0.8333333333333334,1.0,0,2026-03-02
452229498,Nissan Leaf,https://www.finn.no/mobility/item/452229498,24942.0,2012,187477,40.0,109.0,0.9333333333333333,1.0,0,2026-03-02
446084186,Nissan Leaf,https://www.finn.no/mobility/item/446084186,113434.0,2018,119000,40.0,150.0,20.7,1.0,0,2026-03-02
431822999,Nissan Leaf,https://www.finn.no/mobility/item/431822999,129890.0,2019,95000,40.0,150.0,12.433333333333334,2.0,0,2026-03-02
432551869,Nissan Leaf,https://www.finn.no/mobility/item/432551869,34900.0,2012,107620,24.0,109.0,20.833333333333332,6.0,0,2026-03-02
451945542,Nissan Leaf,https://www.finn.no/mobility/item/451945542,174900.0,2022,50300,39.0,150.0,5.766666666666667,2.0,0,2026-03-02
